,year_month,Date,Open,High,Low,Close,Volume,granularity
0,1976-03,1976-03-31,100.96304347826087,101.9608695652174,100.20565217391304,101.08434782608695,294222221,monthly_avg
1,1976-04,1976-04-30,101.98666666666665,102.80285714285715,101.13666666666666,101.92952380952381,217922223,monthly_avg
2,1976-05,1976-05-28,101.2255,101.9045,100.374,101.162,197727778,monthly_avg
3,1976-06,1976-06-30,101.5840909090909,102.50772727272728,100.98272727272727,101.76681818181818,231794447,monthly_avg
4,1976-07,1976-07-30,104.24095238095238,104.93380952380953,103.50190476190475,104.20095238095239,218755556,monthly_avg
5,1976-08,1976-08-31,103.31227272727273,103.98590909090909,102.575,103.29181818181819,192600000,monthly_avg
6,1976-09,1976-09-30,105.34238095238095,106.13095238095238,104.63761904761904,105.45333333333333,230416668,monthly_avg
7,1976-10,1976-10-29,101.99285714285713,102.68190476190478,101.03619047619048,101.88523809523811,200772224,monthly_avg
8,1976-11,1976-11-30,101.193,101.94800000000001,100.3395,101.1935,211677778,monthly_avg
9,1976-12,1976-12-31,104.41727272727272,105.33863636363635,103.83136363636363,104.66090909090909,296972219,monthly_avg
10,1977-01,1977-01-31,104.07190476190478,104.69142857142857,103.13571428571429,103.81333333333333,278677776,monthly_avg
11,1977-02,1977-02-28,101.0721052631579,101.67473684210526,100.31684210526316,100.9557894736842,221355555,monthly_avg
12,1977-03,1977-03-31,100.6304347826087,101.25565217391305,99.94347826086955,100.5695652173913,241494444,monthly_avg
13,1977-04,1977-04-29,99.0565,99.78450000000001,98.3585,99.05,223922223,monthly_avg
14,1977-05,1977-05-31,98.86619047619048,99.44190476190477,98.1204761904762,98.76047619047618,236566665,monthly_avg
15,1977-06,1977-06-30,99.08863636363635,99.82772727272727,98.55727272727273,99.28590909090909,269527779,monthly_avg
16,1977-07,1977-07-29,100.2642105263158,100.83631578947369,99.49315789473684,100.17842105263158,251377777,monthly_avg
17,1977-08,1977-08-31,97.83826086956523,98.42826086956521,97.09,97.75,240916668,monthly_avg
18,1977-09,1977-09-30,96.2352380952381,96.83142857142857,95.62476190476191,96.23238095238096,213150002,monthly_avg
19,1977-10,1977-10-31,93.93380952380951,94.44238095238094,93.1147619047619,93.7395238095238,229705556,monthly_avg
20,1977-11,1977-11-30,94.17619047619048,94.91047619047619,93.51333333333334,94.28333333333333,274822221,monthly_avg
21,1977-12,1977-12-30,93.79904761904761,94.44142857142857,93.19380952380952,93.82047619047619,250538891,monthly_avg
22,1978-01,1978-01-31,90.51761904761904,91.04142857142857,89.67761904761905,90.24952380952381,237855555,monthly_avg
23,1978-02,1978-02-28,89.08947368421053,89.56526315789473,88.40947368421052,88.97526315789473,204777779,monthly_avg
24,1978-03,1978-03-31,88.7209090909091,89.32454545454544,88.1490909090909,88.81954545454545,276433334,monthly_avg
25,1978-04,1978-04-28,92.4035,93.39750000000001,91.8725,92.7105,386444443,monthly_avg
26,1978-05,1978-05-31,97.37954545454545,98.195,96.5690909090909,97.41227272727274,430972221,monthly_avg
27,1978-06,1978-06-30,97.73954545454545,98.475,96.9540909090909,97.66181818181818,370161113,monthly_avg
28,1978-07,1978-07-31,96.967,97.7655,96.34349999999999,97.1925,300827775,monthly_avg
29,1978-08,1978-08-31,103.80826086956522,104.83478260869565,103.05695652173912,103.92173913043477,480527780,monthly_avg
30,1978-09,1978-09-29,103.89950000000002,104.7935,103.09700000000001,103.857,373494445,monthly_avg
31,1978-10,1978-10-31,100.9940909090909,101.68772727272727,99.73772727272727,100.58363636363637,379077777,monthly_avg
32,1978-11,1978-11-30,94.6504761904762,95.5604761904762,93.84238095238095,94.70952380952382,285894447,monthly_avg
33,1978-12,1978-12-29,96.005,96.836,95.2765,96.1075,273577778,monthly_avg
34,1979-01,1979-01-31,99.54499999999999,100.44272727272727,98.86500000000001,99.70499999999998,342072223,monthly_avg
35,1979-02,1979-02-28,98.40052631578948,98.9257894736842,97.56526315789473,98.22947368421053,264283335,monthly_avg
36,1979-03,1979-03-30,99.87363636363638,100.77772727272728,99.32545454545453,100.11227272727274,361000001,monthly_avg
37,1979-04,1979-04-30,102.05600000000001,102.77000000000001,101.3495,102.066,344805557,monthly_avg
