,year_month,Date,Open,High,Low,Close,Volume,granularity
43,1979-10,1979-10-31,102.67,103.16,101.38,101.82,15433333,month_end
44,1979-11,1979-11-30,106.81,107.16,105.56,106.16,16933333,month_end
45,1979-12,1979-12-31,107.84,108.53,107.26,107.94,17516667,month_end
46,1980-01,1980-01-31,115.2,117.17,113.78,114.16,36611111,month_end
47,1980-02,1980-02-29,112.35,114.12,111.77,113.66,21561111,month_end
48,1980-03,1980-03-31,100.68,102.65,100.02,102.09,19911111,month_end
49,1980-04,1980-04-30,105.86,106.72,104.5,106.29,17138889,month_end
50,1980-05,1980-05-30,110.27,111.55,108.87,111.24,19344444,month_end
51,1980-06,1980-06-30,116.0,116.04,113.55,114.24,16616667,month_end
52,1980-07,1980-07-31,122.23,122.34,119.4,121.67,30338889,month_end
53,1980-08,1980-08-29,122.08,123.01,121.06,122.38,18616667,month_end
54,1980-09,1980-09-30,123.54,126.09,123.54,125.46,22383333,month_end
55,1980-10,1980-10-31,126.29,128.24,125.29,127.47,22283333,month_end
56,1980-11,1980-11-28,140.17,141.54,139.0,140.52,19022222,month_end
57,1980-12,1980-12-31,135.33,136.76,134.29,135.76,22894444,month_end
58,1981-01,1981-01-30,130.24,131.65,128.61,129.55,22866667,month_end
59,1981-02,1981-02-27,130.1,132.02,129.35,131.27,29561111,month_end
60,1981-03,1981-03-31,134.68,137.15,134.68,136.0,28322222,month_end
61,1981-04,1981-04-30,133.05,134.44,131.85,132.81,26650000,month_end
62,1981-05,1981-05-29,133.45,134.36,131.52,132.59,28655556,month_end
63,1981-06,1981-06-30,131.89,132.67,130.31,131.21,23083333,month_end
64,1981-07,1981-07-31,130.01,131.78,129.6,130.92,24155556,month_end
65,1981-08,1981-08-31,124.08,125.58,122.29,122.79,22422222,month_end
66,1981-09,1981-09-30,115.94,117.05,114.6,116.18,22611111,month_end
67,1981-10,1981-10-30,119.06,122.53,118.43,121.89,33094444,month_end
68,1981-11,1981-11-30,125.09,126.97,124.18,126.35,26433333,month_end
69,1981-12,1981-12-31,122.3,123.42,121.57,122.55,22655556,month_end
70,1982-01,1982-01-29,118.92,121.38,118.64,120.4,40777778,month_end
71,1982-02,1982-02-26,113.21,114.01,112.04,113.11,24355556,month_end
72,1982-03,1982-03-31,112.27,113.17,111.32,111.96,24055556,month_end
73,1982-04,1982-04-30,116.21,116.78,116.07,116.44,26777778,month_end
74,1982-05,1982-05-28,112.79,112.8,111.66,111.88,24388889,month_end
75,1982-06,1982-06-30,110.95,111.0,109.5,109.61,36266667,month_end
76,1982-07,1982-07-30,107.35,107.95,107.01,107.09,21816667,month_end
77,1982-08,1982-08-31,117.65,119.6,117.65,119.51,47977778,month_end
78,1982-09,1982-09-30,121.62,121.62,120.14,120.42,34783333,month_end
79,1982-10,1982-10-29,133.54,134.02,132.64,133.72,41572222,month_end
80,1982-11,1982-11-30,134.2,138.53,134.19,138.53,51927778,month_end
81,1982-12,1982-12-31,140.34,140.78,140.27,140.64,23394444,month_end
82,1983-01,1983-01-31,144.51,145.3,143.93,145.3,37300000,month_end
83,1983-02,1983-02-28,149.74,149.74,147.81,148.06,46527778,month_end
84,1983-03,1983-03-31,153.41,155.02,152.86,152.96,55872222,month_end
85,1983-04,1983-04-29,162.97,164.43,162.72,164.43,58750000,month_end
86,1983-05,1983-05-31,164.44,164.44,162.12,162.39,41061111,month_end
87,1983-06,1983-06-30,167.64,167.64,167.64,167.64,42394444,month_end
88,1983-07,1983-07-29,165.03,165.03,161.5,162.56,52911111,month_end
89,1983-08,1983-08-31,162.55,164.4,162.32,164.4,44888889,month_end
90,1983-09,1983-09-30,167.23,167.23,165.63,166.07,39366667,month_end
91,1983-10,1983-10-31,163.37,164.58,162.86,163.55,44144444,month_end
92,1983-11,1983-11-30,167.91,168.07,166.33,166.4,66738889,month_end
93,1983-12,1983-12-30,164.86,165.05,164.58,164.93,39911111,month_end
94,1984-01,1984-01-31,162.87,163.6,162.03,163.41,63061111,month_end
95,1984-02,1984-02-29,156.82,158.27,156.41,157.06,51561111,month_end
96,1984-03,1984-03-30,159.52,159.52,158.92,159.18,39772222,month_end
97,1984-04,1984-04-30,159.89,160.43,159.3,160.05,40411111,month_end
98,1984-05,1984-05-31,150.35,150.69,149.76,150.55,45494444,month_end
99,1984-06,1984-06-29,152.84,154.08,152.82,153.18,50427778,month_end
100,1984-07,1984-07-31,150.19,150.77,149.65,150.66,48283333,month_end
101,1984-08,1984-08-31,166.6,166.68,165.78,166.68,31922222,month_end
102,1984-09,1984-09-28,166.96,166.96,165.77,166.1,43861111,month_end
103,1984-10,1984-10-31,166.74,166.95,165.99,166.09,51050000,month_end
104,1984-11,1984-11-30,163.91,163.91,162.99,163.58,43100000,month_end
105,1984-12,1984-12-31,166.26,167.34,166.06,167.24,44588889,month_end
106,1985-01,1985-01-31,179.39,179.83,178.56,179.63,73611111,month_end
107,1985-02,1985-02-28,180.71,181.21,180.33,181.18,55944444,month_end
108,1985-03,1985-03-29,179.54,180.66,179.54,180.66,56333333,month_end
109,1985-04,1985-04-30,180.63,180.63,178.86,179.83,62111111,month_end
110,1985-05,1985-05-31,187.75,189.59,187.45,189.55,74500000,month_end
111,1985-06,1985-06-28,191.23,191.85,191.04,191.85,58444444,month_end
112,1985-07,1985-07-31,189.93,191.33,189.93,190.92,69000000,month_end
113,1985-08,1985-08-30,188.93,189.13,188.0,188.63,45344444,month_end
114,1985-09,1985-09-30,181.3,182.08,181.22,182.08,57555556,month_end
115,1985-10,1985-10-31,190.07,190.15,189.35,189.82,67500000,month_end
116,1985-11,1985-11-29,202.54,203.4,201.92,202.17,46700000,month_end
117,1985-12,1985-12-31,210.68,211.61,210.68,211.28,62611111,month_end
118,1986-01,1986-01-31,209.33,212.42,209.19,211.78,79722222,month_end
119,1986-02,1986-02-28,226.77,227.92,225.42,226.92,106500000,month_end
120,1986-03,1986-03-31,238.97,239.86,238.08,238.9,74666667,month_end
121,1986-04,1986-04-30,240.52,240.52,235.26,235.52,81944444,month_end
122,1986-05,1986-05-30,247.98,249.19,246.43,247.35,84000000,month_end
123,1986-06,1986-06-30,249.6,251.81,249.6,250.84,75055556,month_end
124,1986-07,1986-07-31,236.59,236.92,235.89,236.12,62611111,month_end
125,1986-08,1986-08-29,252.84,254.07,251.73,252.93,69611111,month_end
126,1986-09,1986-09-30,229.91,233.01,229.91,231.32,69388889,month_end
